process_velocity_1,process_velocity_2,process_velocity_3,process_high_velocity,process_cylinder_pressure,process_rapid_rise_time,process_biscuit_thickness,process_clamping_force,process_cycle_time,process_pressure_rise_time,process_casting_pressure,process_spray_time,process_spray_1_time,process_spray_2_time,sensor_melting_furnace_temp,sensor_air_pressure,sensor_air_pressure_min,sensor_air_pressure_max,sensor_coolant_temp,sensor_coolant_temp_min,sensor_coolant_temp_max,sensor_coolant_pressure,sensor_factory_temp,sensor_factory_temp_min,sensor_factory_temp_max,sensor_factory_humidity,sensor_factory_humidity_min,sensor_factory_humidity_max
0.156,0.189,0.212,2.27,239,0.008,13,254,20.7,0.036,1155,7.8,1.2,0.7,726.5,6.8,3,9,28.0,10,50,2.64,32.1,18.0,22.0,70.0,18.0,22.0
0.141,0.172,0.188,2.142,217,0.008,11,258,20.8,0.043,1052,8.0,1.0,0.8,702.9,6.0,3,9,26.4,10,50,2.71,34.5,18.0,22.0,52.7,18.0,22.0
0.144,0.168,0.184,2.13,215,0.007,12,258,20.8,0.043,1039,8.0,1.0,0.8,701.9,5.8,3,9,27.2,10,50,2.69,36.8,18.0,22.0,46.6,18.0,22.0
0.144,0.168,0.186,2.129,217,0.008,11,255,20.7,0.043,1052,7.9,0.8,0.8,703.2,6.4,3,9,26.3,10,50,2.75,32.0,18.0,22.0,62.8,18.0,22.0
0.144,0.166,0.176,2.119,218,0.008,12,258,20.9,0.044,1054,8.0,1.0,0.8,709.5,5.8,3,9,27.2,10,50,2.7,36.5,18.0,22.0,46.9,18.0,22.0
0.146,0.17,0.174,2.152,218,0.008,13,257,21.3,0.041,1056,8.4,0.8,0.8,674.0,6.7,3,9,26.9,10,50,2.73,32.2,18.0,22.0,62.9,18.0,22.0
0.144,0.17,0.176,2.14,215,0.008,11,253,21.0,0.042,1039,8.1,1.0,0.8,705.5,6.5,3,9,26.0,10,50,2.73,30.9,18.0,22.0,65.9,18.0,22.0
0.142,0.168,0.174,2.127,214,0.01,11,257,20.9,0.044,1037,8.1,1.0,0.8,690.9,6.1,3,9,26.9,10,50,2.71,35.7,18.0,22.0,48.8,18.0,22.0
0.144,0.172,0.176,2.149,218,0.008,13,258,21.1,0.044,1055,8.4,0.8,0.8,675.9,6.5,3,9,26.9,10,50,2.77,32.3,18.0,22.0,62.8,18.0,22.0
0.144,0.168,0.176,2.143,217,0.007,11,255,20.7,0.044,1051,7.9,0.8,0.8,706.0,6.2,3,9,26.4,10,50,2.72,32.0,18.0,22.0,62.6,18.0,22.0
0.142,0.168,0.19,2.12,217,0.008,11,257,20.7,0.043,1051,7.8,0.8,0.8,711.0,6.2,3,9,26.4,10,50,2.76,31.9,18.0,22.0,63.4,18.0,22.0
0.138,0.166,0.174,2.145,215,0.008,11,257,20.9,0.044,1039,8.0,1.0,0.8,681.5,5.6,3,9,27.0,10,50,2.71,36.1,18.0,22.0,46.3,18.0,22.0
0.144,0.17,0.186,2.12,217,0.008,8,259,21.4,0.042,1049,8.6,1.0,1.0,718.9,6.8,3,9,26.6,10,50,2.63,34.7,18.0,22.0,58.4,18.0,22.0
0.142,0.166,0.174,2.152,215,0.007,12,255,21.3,0.044,1041,8.4,0.8,1.0,703.8,5.1,3,9,27.2,10,50,2.74,32.4,18.0,22.0,64.1,18.0,22.0
0.142,0.166,0.182,2.137,214,0.007,12,253,21.2,0.043,1037,8.4,0.8,0.8,711.1,6.9,3,9,26.8,10,50,2.74,32.0,18.0,22.0,63.1,18.0,22.0
0.14,0.166,0.179,2.146,215,0.008,12,254,21.2,0.044,1040,8.4,0.8,0.8,709.8,7.0,3,9,26.9,10,50,2.73,32.0,18.0,22.0,63.7,18.0,22.0
0.144,0.168,0.176,2.124,215,0.008,12,257,20.8,0.042,1039,8.0,1.0,0.8,709.2,5.6,3,9,26.9,10,50,2.69,36.4,18.0,22.0,47.0,18.0,22.0
0.141,0.166,0.184,2.154,218,0.008,11,255,20.9,0.041,1053,8.1,1.0,0.8,685.4,6.7,3,9,26.5,10,50,2.71,34.7,18.0,22.0,52.4,18.0,22.0
0.146,0.168,0.182,2.145,218,0.008,12,258,20.7,0.044,1055,8.0,1.0,0.8,701.1,6.2,3,9,27.3,10,50,2.71,36.7,18.0,22.0,46.4,18.0,22.0
