process,process,process,process,process,process,process,process,process,process,process,process,process,sensor,sensor,sensor,sensor,sensor,sensor,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects
velocity_1,velocity_2,velocity_3,high_velocity,rapid_rise_time,biscuit_thickness,clamping_force,cycle_time,pressure_rise_time,casting_pressure,spray_time,spray_1_time,spray_2_time,melting_furnace_temp,air_pressure,coolant_temp,coolant_pressure,factory_temp,factory_humidity,short_shot_1,bubble_1,exfoliation_1,stain_1,dent_1,deformation_1,short_shot_2,bubble_2,exfoliation_2,deformation_2
0.144,0.17,0.188,2.134,0.008,10,258,20.7,0.044,1037,7.8,0.7,0.8,695.0,6.3,26.0,2.71,32.9,58.4,0,0,0,0,0,0,0,0,0,0
0.144,0.17,0.182,2.124,0.008,11,257,20.7,0.044,1052,7.8,0.7,0.8,696.4,6.3,26.1,2.69,32.9,58.2,0,0,0,0,0,0,0,0,0,0
0.144,0.17,0.182,2.116,0.008,11,257,20.8,0.041,1037,7.8,0.7,0.8,696.4,6.3,26.1,2.69,32.9,58.2,0,0,0,0,0,0,0,0,0,0
0.144,0.17,0.182,2.137,0.008,11,257,20.7,0.043,1051,7.8,0.7,0.8,696.4,6.3,26.1,2.69,32.9,58.2,0,0,1,0,0,0,0,0,0,0
0.144,0.172,0.176,2.111,0.008,12,257,20.7,0.042,1052,7.8,0.7,0.8,697.9,6.4,26.1,2.69,32.9,57.8,0,0,0,0,0,0,0,0,0,0
0.144,0.172,0.176,2.111,0.008,12,257,20.7,0.042,1052,7.8,0.7,0.8,697.9,6.4,26.1,2.69,32.9,57.8,0,0,0,0,0,0,0,0,0,0
0.141,0.168,0.178,2.159,0.008,11,257,20.6,0.042,1036,7.8,0.7,0.8,699.6,6.4,26.1,2.71,32.9,57.8,0,0,0,0,0,0,0,0,0,0
0.142,0.172,0.176,2.114,0.008,12,257,20.7,0.041,1052,7.8,0.7,0.8,699.6,6.4,26.1,2.71,32.9,57.8,0,0,0,0,0,0,0,0,0,0
0.142,0.172,0.176,2.114,0.008,12,257,20.7,0.041,1052,7.8,0.7,0.8,699.6,6.4,26.1,2.71,32.9,57.8,0,0,0,0,0,0,0,0,0,0
0.144,0.168,0.184,2.145,0.008,11,257,20.7,0.042,1051,7.8,0.7,0.8,701.4,6.5,26.1,2.71,32.9,57.9,0,0,0,0,0,1,0,0,0,0
0.144,0.168,0.184,2.145,0.008,11,257,20.7,0.042,1051,7.8,0.7,0.8,701.4,6.5,26.1,2.71,32.9,57.9,0,0,0,0,0,0,0,0,0,0
0.144,0.166,0.176,2.12,0.008,11,257,20.7,0.044,1052,7.8,0.7,0.8,701.4,6.5,26.1,2.71,32.9,57.9,0,0,0,0,0,0,0,0,0,0
0.144,0.17,0.176,2.112,0.01,12,257,20.7,0.041,1036,7.8,0.7,0.8,703.1,6.5,26.1,2.7,32.9,58.0,0,0,0,0,0,0,0,0,0,0
0.14,0.168,0.184,2.154,0.008,11,257,20.8,0.041,1051,7.8,0.7,0.8,703.1,6.5,26.1,2.7,32.9,58.0,0,0,0,0,0,0,0,0,0,0
0.142,0.168,0.178,2.13,0.007,11,257,20.6,0.043,1036,7.8,0.7,0.8,703.1,6.5,26.1,2.7,32.9,58.0,0,0,0,0,0,0,0,0,0,0
0.142,0.168,0.176,2.128,0.008,11,257,20.8,0.043,1052,7.8,0.7,0.8,704.8,6.6,26.1,2.7,32.9,58.1,0,0,0,0,0,0,0,0,0,0
0.142,0.168,0.176,2.142,0.008,11,255,20.7,0.044,1037,7.9,0.7,0.8,704.8,6.6,26.1,2.7,32.9,58.1,0,0,0,0,0,0,0,0,0,0
0.142,0.168,0.182,2.114,0.009,11,257,20.7,0.044,1051,7.8,0.7,0.8,706.5,6.6,26.1,2.7,32.9,58.2,0,0,0,0,0,0,0,0,0,0
0.142,0.166,0.182,2.131,0.008,11,257,20.7,0.044,1036,7.8,0.7,0.8,706.5,6.6,26.1,2.7,32.9,58.2,0,0,0,0,0,0,0,0,0,0
0.142,0.17,0.185,2.147,0.008,11,255,20.7,0.041,1052,7.8,0.7,0.8,706.5,6.6,26.1,2.7,32.9,58.2,0,0,0,0,0,0,0,0,0,0
0.14,0.168,0.179,2.154,0.007,11,257,20.7,0.041,1036,7.8,0.7,0.8,708.4,6.6,26.1,2.72,32.8,58.2,0,0,0,0,0,0,1,0,0,0
0.146,0.168,0.186,2.12,0.008,11,257,20.7,0.044,1052,7.8,0.7,0.8,708.4,6.6,26.1,2.72,32.8,58.2,0,0,0,0,0,0,1,0,0,0
0.142,0.166,0.18,2.155,0.007,11,257,20.7,0.041,1053,7.8,0.7,0.8,708.4,6.6,26.1,2.72,32.8,58.2,0,0,1,0,0,0,0,0,0,1
0.142,0.166,0.18,2.155,0.007,11,257,20.7,0.041,1053,7.8,0.7,0.8,710.1,6.8,26.1,2.69,32.9,58.4,0,0,0,0,0,0,0,0,0,0
0.144,0.168,0.18,2.109,0.006,11,255,20.7,0.042,1052,7.8,0.7,0.8,710.1,6.8,26.1,2.69,32.9,58.4,0,0,0,0,0,0,0,0,0,0
0.144,0.168,0.178,2.161,0.018,11,257,20.5,0.042,1036,7.8,0.7,0.8,710.1,6.8,26.1,2.69,32.9,58.4,0,0,0,0,0,0,0,0,0,1
0.142,0.17,0.176,2.148,0.007,11,257,20.7,0.042,1052,7.8,0.7,0.8,711.9,6.8,26.1,2.7,32.8,58.5,0,0,0,0,0,0,0,0,0,0
0.144,0.168,0.176,2.138,0.008,11,257,20.4,0.044,1037,7.8,0.7,0.8,711.9,6.8,26.1,2.7,32.8,58.5,0,0,0,0,0,0,0,0,0,0
0.144,0.168,0.182,2.089,0.008,11,257,20.7,0.041,1052,7.9,0.7,0.8,711.9,6.8,26.1,2.7,32.8,58.5,1,0,0,0,0,0,0,0,0,0
0.139,0.17,0.176,2.144,0.007,11,257,20.7,0.044,1054,7.8,0.7,0.8,713.5,6.9,26.1,2.7,32.8,58.5,0,0,0,0,0,0,0,0,0,0
0.144,0.168,0.184,2.152,0.008,11,255,20.6,0.033,1038,7.8,0.7,0.8,713.5,6.9,26.1,2.7,32.8,58.5,0,0,0,0,0,0,0,0,0,0
0.142,0.166,0.186,2.113,0.007,11,257,20.7,0.044,1052,7.8,0.7,0.8,713.5,6.9,26.1,2.7,32.8,58.5,0,0,0,0,0,0,0,0,0,0
0.144,0.17,0.18,2.114,0.008,11,255,20.5,0.044,1036,7.9,0.7,0.8,715.3,6.9,26.1,2.7,32.9,58.5,0,0,0,0,0,0,0,0,0,0
0.144,0.168,0.178,2.134,0.008,10,255,20.8,0.043,1052,7.9,0.7,0.8,715.3,6.9,26.1,2.7,32.9,58.5,0,0,0,0,0,0,0,0,1,0
0.142,0.17,0.178,2.155,0.007,11,257,20.7,0.042,1036,7.9,0.7,0.8,715.3,6.9,26.1,2.7,32.9,58.5,0,0,0,0,0,0,0,0,0,0
0.14,0.168,0.176,2.153,0.007,11,257,20.7,0.041,1052,7.8,0.7,0.8,716.7,7.0,26.1,2.69,32.8,58.3,0,0,0,0,0,0,0,0,0,0
0.141,0.168,0.181,2.15,0.007,11,257,20.7,0.041,1036,7.8,0.7,0.8,716.7,7.0,26.1,2.69,32.8,58.3,0,0,0,0,0,0,0,0,0,0
0.144,0.166,0.176,2.155,0.008,11,255,20.7,0.041,1052,7.9,0.7,0.8,716.7,7.0,26.1,2.69,32.8,58.3,1,0,0,0,0,0,0,0,0,0
0.142,0.166,0.174,2.159,0.008,11,255,20.8,0.041,1037,7.9,0.7,0.8,718.0,6.9,26.1,2.7,32.9,58.3,0,0,0,0,0,0,0,0,1,0
0.144,0.168,0.18,2.156,0.008,11,255,20.8,0.041,1052,7.9,0.7,0.8,718.0,6.9,26.1,2.7,32.9,58.3,0,0,0,0,0,0,0,0,0,0
0.146,0.168,0.186,2.121,0.008,11,257,20.7,0.044,1037,7.9,0.7,0.8,718.0,6.9,26.1,2.7,32.9,58.3,0,0,0,0,1,0,0,0,0,0
0.146,0.168,0.186,2.121,0.008,11,257,20.7,0.044,1037,7.9,0.7,0.8,719.0,6.8,26.1,2.71,32.9,58.2,0,0,0,1,0,0,0,1,0,0
0.144,0.166,0.186,2.12,0.007,11,255,20.8,0.044,1037,7.8,0.7,0.8,719.0,6.8,26.1,2.71,32.9,58.2,0,0,1,0,0,0,0,0,1,0
0.144,0.166,0.182,2.12,0.008,11,255,20.7,0.044,1051,7.8,0.7,0.8,719.0,6.8,26.1,2.71,32.9,58.2,0,0,0,0,0,0,0,0,0,0
0.142,0.168,0.184,2.143,0.008,11,255,20.7,0.041,1036,7.8,0.7,0.8,719.6,6.7,26.1,2.7,32.9,58.2,0,0,0,0,0,1,0,0,0,0
0.144,0.166,0.178,2.111,0.01,12,255,20.7,0.044,1052,7.8,0.7,0.8,719.6,6.7,26.1,2.7,32.9,58.2,0,0,1,0,0,0,0,0,0,0
0.146,0.166,0.184,2.114,0.01,11,257,20.7,0.043,1037,7.8,0.7,0.8,720.0,6.6,26.1,2.69,32.9,58.1,0,0,1,0,0,0,0,0,0,0
0.142,0.166,0.187,2.155,0.007,11,255,20.8,0.042,1052,7.8,0.7,0.8,720.0,6.6,26.1,2.69,32.9,58.1,0,0,0,0,0,0,0,0,0,0
0.142,0.168,0.174,2.145,0.016,12,255,20.7,0.043,1037,7.8,0.7,0.8,720.0,6.6,26.1,2.69,32.9,58.1,0,0,0,0,0,0,0,0,0,0
0.144,0.166,0.19,2.156,0.007,11,254,20.7,0.042,1052,7.8,0.7,0.8,719.7,6.5,26.1,2.7,33.0,57.8,0,0,0,0,0,0,0,0,0,0
0.14,0.168,0.186,2.127,0.008,12,255,20.6,0.041,1036,7.8,0.7,0.8,719.7,6.5,26.1,2.7,33.0,57.8,0,0,0,0,0,0,0,0,0,0
0.142,0.168,0.184,2.147,0.008,11,255,20.7,0.042,1053,7.8,0.7,0.8,719.7,6.5,26.1,2.7,33.0,57.8,0,0,0,0,0,0,0,0,0,0
0.141,0.166,0.181,2.112,0.009,11,254,20.6,0.043,1038,7.8,0.7,0.8,719.0,6.5,26.1,2.7,33.2,57.4,0,0,0,0,0,0,0,0,0,0
0.144,0.168,0.178,2.146,0.007,11,255,20.8,0.043,1052,7.8,0.7,0.8,719.0,6.5,26.1,2.7,33.2,57.4,0,0,0,0,0,0,0,0,0,0
0.142,0.17,0.184,2.164,0.008,11,254,20.8,0.041,1037,7.8,0.7,0.8,719.0,6.5,26.1,2.7,33.2,57.4,0,0,0,0,0,0,0,0,0,0
0.144,0.17,0.182,2.155,0.007,11,255,20.7,0.041,1052,7.8,0.7,0.8,718.7,6.4,26.2,2.71,33.3,57.0,0,0,0,0,0,0,0,0,0,0
0.144,0.17,0.182,2.155,0.007,11,255,20.7,0.041,1052,7.8,0.7,0.8,718.7,6.4,26.2,2.71,33.3,57.0,0,0,0,0,0,0,0,0,0,0
0.146,0.168,0.186,2.119,0.008,12,255,20.6,0.043,1038,7.8,0.7,0.8,718.7,6.4,26.2,2.71,33.3,57.0,0,0,0,0,0,0,0,0,0,0
0.146,0.168,0.186,2.119,0.008,12,255,20.6,0.043,1038,7.8,0.7,0.8,717.8,6.4,26.2,2.7,33.5,56.7,0,0,0,0,0,0,0,0,0,0
0.141,0.168,0.187,2.149,0.007,11,255,20.4,0.043,1055,7.9,0.7,0.8,717.8,6.4,26.2,2.7,33.5,56.7,0,0,0,0,0,0,0,0,0,0
0.144,0.17,0.186,2.146,0.008,11,255,20.7,0.043,1040,7.9,0.7,0.8,717.8,6.4,26.2,2.7,33.5,56.7,0,0,0,0,0,0,0,0,0,0
0.141,0.168,0.184,2.128,0.009,11,254,20.6,0.044,1053,7.8,0.7,0.8,716.9,6.3,26.2,2.71,33.6,56.4,0,0,0,0,0,0,0,0,0,0
0.142,0.166,0.19,2.145,0.007,12,255,20.6,0.043,1037,7.8,0.7,0.8,716.9,6.3,26.2,2.71,33.6,56.4,0,0,0,0,0,0,0,0,0,0
0.144,0.168,0.186,2.161,0.008,11,255,20.6,0.042,1052,7.8,0.7,0.8,716.9,6.3,26.2,2.71,33.6,56.4,0,0,0,0,0,0,0,0,0,0
0.144,0.17,0.178,2.115,0.007,11,254,20.7,0.042,1037,7.8,0.7,0.8,715.9,6.3,26.2,2.69,33.7,56.2,0,0,0,0,0,0,0,0,0,0
0.142,0.17,0.184,2.14,0.008,11,254,20.5,0.044,1054,7.8,0.7,0.8,715.9,6.3,26.2,2.69,33.7,56.2,0,0,0,0,0,0,0,0,0,0
0.144,0.171,0.176,2.116,0.007,12,254,20.7,0.041,1039,7.8,0.7,0.8,715.9,6.3,26.2,2.69,33.7,56.2,0,0,0,0,0,0,0,0,0,0
0.144,0.172,0.187,2.131,0.008,11,254,20.5,0.044,1052,7.8,0.7,0.8,714.6,6.2,26.2,2.71,33.8,56.1,0,0,0,0,0,0,0,0,0,0
0.142,0.172,0.182,2.129,0.007,11,254,20.7,0.044,1037,7.9,0.7,0.8,714.6,6.2,26.2,2.71,33.8,56.1,0,0,0,0,0,0,0,0,0,0
0.144,0.172,0.178,2.17,0.008,11,254,20.7,0.042,1053,7.8,0.7,0.8,714.6,6.2,26.2,2.71,33.8,56.1,0,0,0,0,0,0,0,0,0,0
0.144,0.172,0.188,2.171,0.007,11,253,20.7,0.042,1038,7.8,0.7,0.8,713.4,6.1,26.2,2.71,33.9,56.0,0,0,0,0,0,0,0,0,0,0
0.144,0.17,0.176,2.147,0.008,12,253,20.5,0.042,1052,7.8,0.7,0.8,713.4,6.1,26.2,2.71,33.9,56.0,0,0,0,0,0,0,0,0,0,0
0.14,0.17,0.18,2.128,0.01,11,254,20.7,0.044,1054,7.8,0.7,0.8,713.4,6.1,26.2,2.71,33.9,56.0,0,0,0,0,0,0,0,0,0,0
